State,2020.1,2020.2,2020.3,2020.4,2021.1,2021.2,2021.3,2021.4,2022.1
AL,1.40,-1.20,-2.80,-1.00,-0.40,1.30,3.40,2.40,5.30
AK,2.30,-5.70,-2.70,-3.50,-6.20,4.30,-0.80,0.10,2.20
AZ,4.40,1.00,-0.20,-0.20,1.00,2.40,4.80,5.50,7.50
AR,3.20,0.30,0.50,2.30,3.30,4.90,4.00,3.30,2.50
CA,1.70,-4.10,-5.00,-2.50,-1.00,3.20,3.00,2.30,4.10
CO,1.90,-3.00,-4.60,-3.10,-1.90,1.20,2.70,3.00,2.70
CT,0.00,-6.30,-3.70,0.20,-0.40,5.20,3.80,2.60,5.10
DE,0.20,-5.10,-2.10,1.20,-0.10,6.30,4.50,0.70,0.90
DC,3.60,-2.50,4.10,2.80,-2.20,1.50,-3.50,5.70,2.90
FL,2.30,0.00,-1.70,-0.70,0.30,1.90,3.30,3.60,3.10
GA,2.20,-2.80,-2.60,-3.10,-1.90,2.70,3.00,4.30,3.30
HI,-2.10,-0.30,-3.70,-1.50,0.90,0.50,1.60,-0.90,-0.20
ID,8.80,4.50,4.30,6.20,7.40,8.50,7.40,7.60,10.00
IL,-1.30,-6.60,-6.40,-3.90,-1.40,4.10,4.20,3.20,3.50
IN,2.10,-3.50,-1.10,0.80,-0.90,5.10,4.80,3.70,5.50
IA,4.50,-3.00,-5.70,-1.30,-2.60,2.80,6.00,4.20,5.60
KS,2.20,-2.20,-1.10,0.30,-1.40,1.80,3.20,1.50,-0.30
KY,0.90,-5.30,-4.40,-2.20,-2.20,4.00,1.70,3.40,4.60
LA,-9.40,-18.40,-15.10,-12.00,-5.30,13.70,10.30,7.70,1.30
ME,3.90,-0.50,0.70,4.40,5.00,5.50,4.30,1.60,3.30
MD,0.30,-5.10,-4.30,-3.20,-2.60,1.00,-0.20,0.10,0.10
MA,2.50,-9.40,-4.70,-1.90,-1.30,10.20,5.50,4.50,4.20
MI,3.70,-5.50,-1.50,-1.30,-2.50,7.90,2.90,3.80,6.10
MN,3.00,-4.40,-5.50,0.20,0.50,7.00,6.00,3.00,2.80
MS,1.80,-5.80,-0.80,-2.00,-3.20,4.20,3.60,6.20,6.80
MO,3.00,-1.50,-1.70,-0.50,1.70,6.30,6.20,6.40,5.80
MT,8.10,1.40,2.60,6.30,6.00,5.90,6.70,7.00,10.90
NE,10.40,1.90,0.00,2.00,-1.40,2.40,3.00,1.20,3.10
NV,3.90,-3.30,-5.90,-6.20,-1.70,6.10,5.20,6.30,6.80
NH,4.20,-1.40,-0.40,2.00,-1.20,5.30,4.40,2.90,5.70
NJ,3.10,-7.10,-5.40,-3.20,-4.30,5.70,3.40,4.80,5.10
NM,6.90,-5.80,-8.60,-7.80,-8.10,0.40,2.70,2.30,3.00
NY,-0.70,-13.90,-8.30,-6.90,-7.00,6.40,0.50,1.00,2.30
NC,1.40,-2.10,-2.40,-0.40,1.50,5.60,4.00,3.80,3.60
ND,-2.30,-9.60,-11.00,-12.40,-10.90,-1.90,-0.70,2.70,7.10
OH,2.00,-5.20,-3.60,-3.50,-2.80,3.00,2.00,4.10,5.60
OK,-2.00,-4.30,-7.90,-5.60,-3.40,-0.10,1.60,2.00,1.60
OR,3.60,-2.70,-2.80,-1.30,-0.40,3.40,2.90,2.70,4.10
PA,1.80,-8.40,-6.10,-3.10,-3.30,5.90,3.10,2.90,3.50
RI,1.90,-8.40,-4.40,-2.50,-2.00,9.20,5.80,5.80,7.00
SC,-0.50,-4.20,-4.60,-2.60,-1.90,1.30,1.90,2.00,3.20
SD,4.40,2.20,3.30,5.70,6.10,5.00,0.20,1.20,2.80
TN,2.50,-2.10,-0.70,0.50,2.20,5.40,6.40,6.00,8.00
TX,1.90,-5.50,-8.30,-7.50,-5.90,0.20,3.20,5.10,4.50
UT,6.80,5.50,4.40,5.20,6.70,4.90,5.70,5.30,6.80
VT,-1.50,-6.80,-3.80,-1.60,-1.50,6.20,1.60,2.20,6.00
VA,1.90,-2.00,-0.70,0.30,-0.40,3.20,1.50,1.30,1.50
WA,3.00,-5.50,-2.50,-0.70,-0.10,7.30,4.30,4.40,3.60
WV,-13.10,-20.80,-16.40,-4.80,-1.90,3.10,4.80,7.00,7.40
WI,3.10,-1.70,-1.70,0.10,-1.10,3.30,3.10,2.30,4.20
WY,0.40,-7.60,-10.30,-9.60,-9.80,0.80,4.50,3.70,3.10
