State,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21
MO,2364956.00,2227786.00,2271260.00,2311350.00,2298453.00,2352974.00,2353261.00,2394634.00,2382164.00,2447083.00,2444826.00,2448958.00,2442184.00,2497330.00,2479190.00,2484424.00,2456806.00,2505303.00,2488474.00,2492047.00,2458775.00
MT,378766.00,375198.00,381396.00,382994.00,380657.00,404498.00,400974.00,403895.00,400727.00,419936.00,420399.00,415759.00,411877.00,432299.00,425488.00,423107.00,415615.00,438625.00,432093.00,425200.00,418795.00
NE,808806.00,779750.00,791645.00,803020.00,791308.00,814381.00,806729.00,819407.00,807471.00,829712.00,831601.00,836284.00,829944.00,857086.00,851241.00,853948.00,843232.00,862948.00,856062.00,857684.00,840982.00
NV,1248132.00,1035741.00,1101197.00,1132557.00,1138929.00,1202561.00,1237800.00,1280615.00,1287452.00,1317907.00,1338360.00,1340998.00,1332431.00,1356477.00,1369006.00,1383234.00,1363911.00,1379043.00,1384267.00,1389024.00,1365213.00
NH,569237.00,526845.00,550035.00,553047.00,548433.00,577644.00,571793.00,577230.00,574996.00,598523.00,593924.00,594945.00,587969.00,614796.00,603532.00,602338.00,593608.00,618651.00,605773.00,605436.00,593756.00
NJ,3442631.00,3006177.00,3217541.00,3299134.00,3249981.00,3422050.00,3414346.00,3544388.00,3500022.00,3644207.00,3611495.00,3654538.00,3581696.00,3732080.00,3678470.00,3697279.00,3617312.00,3758221.00,3696867.00,3730507.00,3655970.00
NM,653773.00,589064.00,601822.00,599109.00,607943.00,627045.00,636052.00,647992.00,647752.00,657044.00,668538.00,672003.00,669431.00,684237.00,679821.00,686691.00,679652.00,689269.00,687603.00,689566.00,680165.00
NY,7942246.00,6749264.00,7142024.00,7296639.00,7210826.00,7498091.00,7546722.00,7800083.00,7712698.00,8009813.00,7999464.00,8071651.00,7977013.00,8214992.00,8138212.00,8207708.00,8189503.00,8399831.00,8346293.00,8421073.00,8303021.00
NC,3777842.00,3543228.00,3630661.00,3739953.00,3743099.00,3837343.00,3830267.00,3951708.00,3946629.00,4035725.00,4046463.00,4094271.00,4080435.00,4167057.00,4136284.00,4196646.00,4146644.00,4219262.00,4184369.00,4210447.00,4151114.00
ND,339676.00,322257.00,327357.00,322150.00,318035.00,333613.00,335061.00,333730.00,328383.00,344166.00,347231.00,341534.00,338843.00,355198.00,354647.00,350816.00,344959.00,360606.00,359738.00,353644.00,345514.00
OH,4612516.00,4362562.00,4435060.00,4499129.00,4437894.00,4576696.00,4554581.00,4642538.00,4596914.00,4728553.00,4710555.00,4733863.00,4688711.00,4821313.00,4776376.00,4783241.00,4719345.00,4839966.00,4798185.00,4811136.00,4725082.00
OK,1274512.00,1214966.00,1225789.00,1249117.00,1236651.00,1259915.00,1263394.00,1288618.00,1278318.00,1303697.00,1323832.00,1334588.00,1330611.00,1350676.00,1350949.00,1358735.00,1349178.00,1356258.00,1359905.00,1369678.00,1355677.00
OR,1657132.00,1530869.00,1575092.00,1560539.00,1578080.00,1626114.00,1639363.00,1642945.00,1653308.00,1682557.00,1703194.00,1679748.00,1685791.00,1723572.00,1721353.00,1694823.00,1682100.00,1721544.00,1725913.00,1692206.00,1661521.00
PA,5159671.00,4661498.00,4840754.00,4894581.00,4877889.00,5021352.00,5038272.00,5157109.00,5123277.00,5247333.00,5257301.00,5283803.00,5236537.00,5358524.00,5328167.00,5350552.00,5290090.00,5400041.00,5370228.00,5393749.00,5317868.00
RI,411994.00,369542.00,392252.00,389661.00,388411.00,412291.00,411019.00,414385.00,407835.00,430855.00,425403.00,423725.00,416324.00,437327.00,433347.00,430513.00,421675.00,442051.00,438937.00,438204.00,427056.00
SC,1748056.00,1649334.00,1676837.00,1722959.00,1713350.00,1749883.00,1751109.00,1797171.00,1798446.00,1841425.00,1848671.00,1864746.00,1863680.00,1896484.00,1897155.00,1913955.00,1901060.00,1937010.00,1926003.00,1936240.00,1931772.00
SD,346248.00,344420.00,348975.00,348412.00,343741.00,366162.00,360928.00,360884.00,357284.00,376974.00,373564.00,369311.00,365231.00,387596.00,381707.00,378996.00,372661.00,390955.00,385467.00,382424.00,373536.00
TN,2601367.00,2439520.00,2499811.00,2584414.00,2551376.00,2601041.00,2627141.00,2683027.00,2693940.00,2742514.00,2779335.00,2793838.00,2775940.00,2823794.00,2834180.00,2854306.00,2825076.00,2861768.00,2853642.00,2846416.00,2810132.00
TX,10691291.00,9967936.00,10046829.00,10364962.00,10354235.00,10610094.00,10744900.00,11104980.00,11089876.00,11305049.00,11472254.00,11632852.00,11619386.00,11785911.00,11758524.00,11884317.00,11809628.00,11935852.00,11933476.00,12082079.00,11946426.00
UT,1284814.00,1246817.00,1279290.00,1319288.00,1314558.00,1346150.00,1352158.00,1381949.00,1385719.00,1409748.00,1420135.00,1430341.00,1417641.00,1445998.00,1447361.00,1453008.00,1439810.00,1450472.00,1458696.00,1470313.00,1452408.00
VT,250914.00,222080.00,235088.00,235706.00,234253.00,244028.00,243386.00,247751.00,245964.00,252113.00,250607.00,253542.00,252539.00,257926.00,254344.00,257448.00,254054.00,257578.00,256251.00,257742.00,252421.00
VA,3193699.00,2947519.00,3045623.00,3108304.00,3080878.00,3158158.00,3151834.00,3220616.00,3197721.00,3269160.00,3277454.00,3307059.00,3289146.00,3365388.00,3334970.00,3361484.00,3330685.00,3402966.00,3374796.00,3391942.00,3356177.00
WA,2849227.00,2652422.00,2731248.00,2688685.00,2714745.00,2829758.00,2874819.00,2880317.00,2897057.00,2980934.00,3021377.00,2971894.00,2958746.00,3054917.00,3046833.00,2998842.00,2959614.00,3050665.00,3061219.00,3001851.00,2983544.00
WV,532601.00,501806.00,512332.00,517683.00,513250.00,527045.00,529808.00,537957.00,533145.00,538486.00,545849.00,545499.00,544335.00,556081.00,555438.00,558391.00,554585.00,565766.00,562619.00,562081.00,555528.00
WI,2446469.00,2346452.00,2385042.00,2392916.00,2365922.00,2475866.00,2451218.00,2462959.00,2446699.00,2544602.00,2536033.00,2524265.00,2498494.00,2595603.00,2563355.00,2549787.00,2514730.00,2604465.00,2574493.00,2555595.00,2505860.00
WY,202069.00,196867.00,198859.00,195126.00,192113.00,209498.00,207469.00,203308.00,200122.00,215583.00,214401.00,208202.00,205972.00,222204.00,219280.00,211660.00,206750.00,222682.00,220271.00,212144.00,206176.00
