STATE,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
CA,870,1.7,3.14,0.74,47.6,99010,0.4,32.49,40.41,46.56,57.58,59.82,67580,84050,96850,119760,124430
CA,650,2.5,4.73,1.11,58.29,121240,0.6,37.3,48.75,60.16,67.32,71.31,77590,101410,125130,140030,148320
CA,740,2.5,4.4,1.03,43.45,90380,0.6,32.6,38.85,40.62,48.61,53.37,67820,80810,84490,101110,111000
CA,250,4.9,5.04,1.18,41.59,86510,1.6,26.11,32.39,39.19,43.05,67.19,54300,67360,81500,89540,139760
CO,420,4.7,2.15,0.51,43.85,91200,0.8,34.05,36.29,43.56,49.44,49.44,70830,75490,90590,102840,102840
CO,1220,2,3.92,0.92,40.85,84970,0.9,28.3,36.46,43.07,45.86,45.86,58860,75830,89590,95390,95390
CO,5170,1.2,3.25,0.76,44.76,93090,0.6,33.41,40.41,48.46,50.53,50.89,69490,84060,100790,105100,105840
CO,600,3.5,3.46,0.81,44.59,92750,0.8,36.39,40.52,47.73,48.92,50.48,75680,84290,99280,101750,104990
CO,240,2.9,3.66,0.86,36.78,76500,0.8,29.07,33.66,39.01,40.09,40.09,60470,70020,81150,83400,83400
CO,480,5.7,4.31,1.01,40.93,85130,1.4,30.41,39.06,41.16,46.99,50.98,63250,81240,85600,97740,106040
CO,300,3.7,4.7,1.11,35.79,74440,0.6,29.85,31.65,33.13,39.04,47.1,62080,65840,68900,81190,97960
CT,1550,2.6,3.86,0.91,38.27,79610,0.6,28.31,34.08,37.76,44.48,48.05,58890,70890,78540,92520,99950
CT,310,7.7,4.04,0.95,40.28,83780,1.7,27.7,37.18,44.1,44.27,46.13,57620,77330,91740,92070,95940
CT,2160,1.8,3.84,0.9,39.47,82100,0.5,29.95,32.39,41.4,45.12,48.52,62300,67370,86110,93840,100920
CT,1280,1.9,4.42,1.04,39.64,82440,0.5,27.6,32.39,42.45,46.68,48.81,57400,67370,88300,97090,101520
CT,590,3.1,4.82,1.13,37.78,78580,0.5,30.21,33.97,38.04,41.42,44.25,62840,70650,79110,86160,92050
CT,400,6.8,5.97,1.4,38.88,80870,1.3,30.65,33.65,41.05,41.05,42.51,63750,70000,85380,85380,88420
DC,14470,0.5,4.68,1.1,38.55,80190,0.3,28.94,31.7,37.1,45.19,50.02,60200,65940,77160,94000,104050
DE,380,3.5,5.63,1.32,38.53,80130,1.5,23.73,28.3,36.73,46.43,57.46,49360,58870,76390,96580,119520
FL,930,3.1,3.21,0.75,32.83,68290,0.7,23.08,26.09,31.6,40.48,41.39,48010,54270,65730,84190,86080
FL,830,1.9,6.76,1.59,26.2,54490,0.9,21.45,24.12,24.24,28.39,32.97,44620,50170,50420,59050,68580
FL,1190,2,5.64,1.33,24.97,51940,0.6,19.84,22.64,23.66,25.67,29.19,41260,47090,49210,53390,60700
FL,770,3.4,5.49,1.29,27.98,58190,0.8,20.75,23.23,28.01,32.15,36.94,43160,48320,58260,66870,76840
FL,200,1.9,5.77,1.36,24.5,50950,0.6,20.72,20.72,23.6,27.41,29.49,43110,43110,49080,57010,61330
FL,2990,0.9,4.03,0.95,30.01,62410,0.5,21.03,24.44,29.96,39.41,39.41,43740,50830,62330,81970,81970
FL,1190,1.3,4.65,1.09,28.13,58520,0.6,22.73,23.49,29.49,29.49,35.45,47280,48860,61340,61340,73740
FL,19870,0.6,7.3,1.72,47.69,99190,0.5,28.21,32.94,43.06,53.46,85.41,58680,68510,89570,111190,177660
FL,370,7.8,2.26,0.53,32.27,67120,1.2,21.89,24.4,30.19,40.86,46.84,45530,50740,62790,85000,97420
FL,1370,2.1,4.25,1,31.83,66210,0.5,24.26,26.95,30.83,37.34,39.22,50460,56060,64120,77670,81570
FL,720,1.3,6.25,1.47,32.22,67020,0.9,23.06,24.99,31.17,39.4,44.4,47970,51970,64840,81950,92350
FL,5480,1.4,4.01,0.94,31.92,66390,0.5,23.28,25.71,31.33,38.81,42.34,48410,53470,65160,80730,88060
FL,980,2.1,4.13,0.97,27.46,57110,0.5,20.08,24.13,25.77,31.6,36.25,41760,50190,53610,65730,75400
FL,520,4.8,6.18,1.45,24.27,50470,0.9,20.1,21.95,24.35,25.66,28.83,41810,45660,50650,53370,59960
FL,1020,1.2,5.55,1.3,28.01,58250,0.6,20.75,23.7,24.12,32.21,40.05,43160,49300,50170,66990,83290
FL,600,3.3,3.67,0.86,32.45,67490,0.7,23.89,24.63,30.88,39.21,46.03,49690,51230,64230,81550,95740
FL,550,0.9,10.26,2.41,31.9,66350,0.5,23.29,25.66,31.64,36.36,39.66,48440,53370,65810,75640,82490
FL,230,4.8,4.21,0.99,28.21,58670,1.1,21.95,25.14,25.14,30.9,38.73,45650,52300,52300,64280,80570
